message,label
URGENT! You have won $1000000! Call now to claim your prize!,spam
FREE! Click here to get your free iPhone now! Limited time offer!,spam
Congratulations! You've been selected for a cash prize. Text CLAIM to 12345,spam
WINNER! You have won a luxury vacation. Call 1-800-SCAM now!,spam
Get rich quick! Make $5000 a day working from home!,spam
Your account will be suspended unless you verify immediately. Click here.,spam
Hot singles in your area want to meet you! Join now for free!,spam
Lose 30 pounds in 30 days with this miracle pill!,spam
You owe $500 in unpaid taxes. Pay immediately to avoid arrest.,spam
Claim your free gift card worth $500! Act now!,spam
URGENT! You have won $1000000! Call now to claim your prize!,spam
FREE! Click here to get your free iPhone now! Limited time offer!,spam
Congratulations! You've been selected for a cash prize. Text CLAIM to 12345,spam
WINNER! You have won a luxury vacation. Call 1-800-SCAM now!,spam
Get rich quick! Make $5000 a day working from home!,spam
Your account will be suspended unless you verify immediately. Click here.,spam
Hot singles in your area want to meet you! Join now for free!,spam
Lose 30 pounds in 30 days with this miracle pill!,spam
You owe $500 in unpaid taxes. Pay immediately to avoid arrest.,spam
Claim your free gift card worth $500! Act now!,spam
URGENT! You have won $1000000! Call now to claim your prize!,spam
FREE! Click here to get your free iPhone now! Limited time offer!,spam
Congratulations! You've been selected for a cash prize. Text CLAIM to 12345,spam
WINNER! You have won a luxury vacation. Call 1-800-SCAM now!,spam
Get rich quick! Make $5000 a day working from home!,spam
Your account will be suspended unless you verify immediately. Click here.,spam
Hot singles in your area want to meet you! Join now for free!,spam
Lose 30 pounds in 30 days with this miracle pill!,spam
You owe $500 in unpaid taxes. Pay immediately to avoid arrest.,spam
Claim your free gift card worth $500! Act now!,spam
URGENT! You have won $1000000! Call now to claim your prize!,spam
FREE! Click here to get your free iPhone now! Limited time offer!,spam
Congratulations! You've been selected for a cash prize. Text CLAIM to 12345,spam
WINNER! You have won a luxury vacation. Call 1-800-SCAM now!,spam
Get rich quick! Make $5000 a day working from home!,spam
Your account will be suspended unless you verify immediately. Click here.,spam
Hot singles in your area want to meet you! Join now for free!,spam
Lose 30 pounds in 30 days with this miracle pill!,spam
You owe $500 in unpaid taxes. Pay immediately to avoid arrest.,spam
Claim your free gift card worth $500! Act now!,spam
URGENT! You have won $1000000! Call now to claim your prize!,spam
FREE! Click here to get your free iPhone now! Limited time offer!,spam
Congratulations! You've been selected for a cash prize. Text CLAIM to 12345,spam
WINNER! You have won a luxury vacation. Call 1-800-SCAM now!,spam
Get rich quick! Make $5000 a day working from home!,spam
Your account will be suspended unless you verify immediately. Click here.,spam
Hot singles in your area want to meet you! Join now for free!,spam
Lose 30 pounds in 30 days with this miracle pill!,spam
You owe $500 in unpaid taxes. Pay immediately to avoid arrest.,spam
Claim your free gift card worth $500! Act now!,spam
"Hey, are we still meeting for lunch tomorrow?",ham
Thanks for the great presentation today. Well done!,ham
Can you pick up milk on your way home?,ham
The meeting has been moved to 3 PM in conference room B.,ham
Happy birthday! Hope you have a wonderful day.,ham
Don't forget about the dentist appointment at 2 PM.,ham
The weather looks great for our picnic this weekend.,ham
I'll be running 10 minutes late to our meeting.,ham
Could you send me the report when you get a chance?,ham
Great job on the project! The client loved it.,ham
"Hey, are we still meeting for lunch tomorrow?",ham
Thanks for the great presentation today. Well done!,ham
Can you pick up milk on your way home?,ham
The meeting has been moved to 3 PM in conference room B.,ham
Happy birthday! Hope you have a wonderful day.,ham
Don't forget about the dentist appointment at 2 PM.,ham
The weather looks great for our picnic this weekend.,ham
I'll be running 10 minutes late to our meeting.,ham
Could you send me the report when you get a chance?,ham
Great job on the project! The client loved it.,ham
"Hey, are we still meeting for lunch tomorrow?",ham
Thanks for the great presentation today. Well done!,ham
Can you pick up milk on your way home?,ham
The meeting has been moved to 3 PM in conference room B.,ham
Happy birthday! Hope you have a wonderful day.,ham
Don't forget about the dentist appointment at 2 PM.,ham
The weather looks great for our picnic this weekend.,ham
I'll be running 10 minutes late to our meeting.,ham
Could you send me the report when you get a chance?,ham
Great job on the project! The client loved it.,ham
"Hey, are we still meeting for lunch tomorrow?",ham
Thanks for the great presentation today. Well done!,ham
Can you pick up milk on your way home?,ham
The meeting has been moved to 3 PM in conference room B.,ham
Happy birthday! Hope you have a wonderful day.,ham
Don't forget about the dentist appointment at 2 PM.,ham
The weather looks great for our picnic this weekend.,ham
I'll be running 10 minutes late to our meeting.,ham
Could you send me the report when you get a chance?,ham
Great job on the project! The client loved it.,ham
"Hey, are we still meeting for lunch tomorrow?",ham
Thanks for the great presentation today. Well done!,ham
Can you pick up milk on your way home?,ham
The meeting has been moved to 3 PM in conference room B.,ham
Happy birthday! Hope you have a wonderful day.,ham
Don't forget about the dentist appointment at 2 PM.,ham
The weather looks great for our picnic this weekend.,ham
I'll be running 10 minutes late to our meeting.,ham
Could you send me the report when you get a chance?,ham
Great job on the project! The client loved it.,ham
